Flow,O,D,Year
694,43,31,2006
429,33,18,2016
1866,6,1,2012
9,47,39,2012
744,38,19,2012
557,26,42,2016
251,34,26,2018
1742,28,16,2018
93,47,13,2007
32,18,39,2015
1990,17,23,2014
35,34,35,2006
848,23,42,2007
397,17,41,2009
404,44,25,2015
240,12,19,2008
231,3,6,2017
106,18,9,2015
94,7,37,2013
256,49,35,2008
67,40,47,2008
13,40,23,2011
25,28,38,2013
59,46,24,2011
154,16,6,2010
218,35,27,2007
50,4,29,2013
7,25,30,2015
310,24,26,2013
1318,19,42,2018
969,11,48,2007
97,20,36,2011
913,43,34,2015
3265,48,43,2016
363,24,49,2009
99,39,31,2017
545,13,27,2012
1586,7,42,2007
33,36,33,2011
93,5,49,2012
353,19,18,2018
1138,3,10,2013
149,10,33,2007
15,25,31,2017
717,14,29,2016
1958,45,10,2018
964,45,23,2015
20,47,40,2007
400,42,25,2012
191,30,32,2008
458,9,28,2009
75,28,33,2017
19,6,11,2010
92,41,48,2010
1858,8,16,2015
82,4,44,2012
251,17,25,2008
239,34,45,2012
267,25,41,2012
3824,17,18,2009
500,12,25,2014
260,29,17,2005
5348,32,2,2006
344,1,2,2014
43,38,39,2008
337,7,21,2012
1098,45,16,2009
166,37,6,2010
288,22,24,2018
617,49,15,2005
1100,16,12,2008
1344,25,16,2005
93,30,41,2006
113,2,40,2015
15,42,40,2005
415,32,1,2014
190,31,37,2013
98,6,26,2015
83,27,5,2012
787,31,26,2016
888,12,21,2018
20,22,5,2006
420,17,42,2015
220,7,17,2016
621,41,4,2017
2054,24,11,2006
120,1,30,2016
949,30,10,2018
2605,30,16,2011
157,2,43,2005
15,16,39,2016
1,47,38,2013
845,31,34,2016
1170,25,8,2015
3884,9,22,2015
64,49,6,2005
9,15,29,2007
101,17,22,2011
467,35,44,2009
645,4,28,2011
301,7,41,2016
217,34,31,2011
827,41,4,2014
1734,6,1,2017
432,8,7,2011
48,15,35,2014
27,5,14,2008
461,3,11,2007
2559,2,4,2017
163,49,12,2015
164,31,8,2006
314,3,17,2014
110,43,9,2007
153,28,3,2017
712,33,32,2014
570,43,47,2014
8,19,14,2007
1078,11,20,2012
182,18,48,2010
97,29,20,2016
1115,6,10,2014
148,9,32,2010
85,27,11,2010
246,15,32,2006
52,40,44,2009
209,36,13,2008
104,25,3,2016
1693,22,15,2008
247,12,37,2017
113,12,36,2006
40,34,6,2015
583,1,3,2010
104,10,9,2012
116,9,3,2006
271,1,37,2013
333,38,7,2016
261,17,28,2018
155,13,6,2009
96,23,9,2013
78,45,7,2010
314,18,12,2005
77,42,31,2013
627,35,34,2011
63,23,27,2005
3764,21,16,2008
42,16,33,2013
84,12,26,2009
870,2,23,2009
354,49,11,2016
303,7,20,2005
65,21,49,2017
182,28,17,2007
166,41,37,2018
160,10,48,2005
173,46,41,2015
613,8,29,2013
892,3,12,2017
350,48,27,2009
306,3,1,2013
28,41,44,2017
73,30,46,2005
627,43,31,2009
127,33,18,2009
419,33,42,2008
3026,6,1,2005
893,38,19,2005
1931,11,26,2006
50,47,5,2013
182,47,13,2014
2125,45,15,2017
1785,17,23,2005
2905,23,18,2013
548,23,42,2012
142,14,44,2012
3281,9,44,2018
524,43,21,2009
553,21,25,2017
382,43,12,2005
1698,24,14,2012
246,37,12,2005
1330,9,21,2008
317,1,47,2007
90,49,5,2006
485,15,28,2010
672,47,2,2006
192,27,41,2008
190,4,29,2006
387,16,28,2016
881,26,12,2008
2249,3,46,2006
517,45,43,2007
1730,21,10,2014
60,36,33,2018
59,10,30,2018
1650,7,42,2012
1705,19,10,2009
36,46,35,2009
161,37,31,2007
161,35,24,2006
1074,8,19,2007
59,25,31,2008
283,16,19,2011
8,11,49,2008
23,42,40,2015
291,20,27,2010
727,42,25,2005
978,11,23,2015
739,32,42,2017
161,31,27,2018
98,6,35,2017
27,28,30,2007
361,48,47,2013
1691,45,34,2011
115,25,41,2007
50,14,38,2006
410,24,32,2007
659,1,2,2007
1059,20,34,2007
79,42,45,2015
681,42,34,2006
276,6,7,2015
770,49,15,2012
242,13,47,2011
946,4,35,2013
251,31,2,2012
332,22,37,2014
1488,16,34,2014
265,45,27,2006
26,8,1,2017
302,32,1,2007
203,30,8,2018
1038,29,4,2008
313,6,26,2006
39,37,45,2012
64,9,14,2016
136,8,30,2014
192,25,17,2006
497,16,25,2005
175,46,44,2017
293,2,43,2014
258,20,17,2012
1132,42,19,2011
354,37,23,2006
289,6,37,2014
144,11,38,2017
881,27,18,2015
571,21,46,2018
602,22,20,2011
2185,46,20,2017
108,31,6,2005
160,10,38,2010
28,19,46,2015
247,19,38,2013
637,42,18,2005
4143,21,15,2015
101,15,35,2017
734,21,22,2018
363,46,4,2006
624,3,17,2005
1810,24,2,2018
506,33,32,2007
264,21,9,2009
2100,11,20,2005
51,31,35,2018
693,49,42,2017
2051,6,10,2005
301,38,40,2009
90,6,44,2008
217,15,32,2015
260,27,23,2018
661,48,4,2014
95,34,14,2005
202,26,9,2008
158,3,22,2014
274,43,6,2008
73,10,9,2005
177,2,31,2017
29,19,31,2010
426,43,47,2016
254,42,37,2014
157,36,29,2016
642,18,12,2012
240,14,23,2017
263,23,27,2012
81,18,38,2007
51,16,33,2006
258,12,26,2016
520,34,9,2014
876,43,7,2016
60,41,9,2017
122,10,48,2012
26,1,38,2012
410,19,28,2018
39,41,30,2009
418,8,29,2006
122,8,27,2017
1062,36,4,2009
1412,40,49,2011
364,26,7,2007
7,3,39,2011
146,5,43,2018
513,33,42,2017
639,21,3,2011
1659,11,26,2015
225,9,43,2012
1314,40,15,2009
107,34,35,2016
178,14,44,2007
1336,25,2,2014
993,24,2,2015
823,48,10,2008
190,31,7,2015
214,15,22,2014
47,24,17,2010
78,31,45,2006
317,10,3,2011
177,1,47,2014
827,34,27,2016
317,18,3,2007
741,47,2,2015
123,29,23,2018
1200,5,41,2014
343,23,43,2015
78,18,22,2006
741,45,43,2014
2172,21,10,2007
128,33,27,2008
